distance(mi),type,max_height(ft),min_height(ft),ascent(ft),descent(ft),avg_grade(%),max_grade(%),trail_name,difficulty,rating,description,state
4.4,Out and Back,5707,4321,1390,1390,12,82,Angels Landing,Difficult,4.9,"Hiking Angel's Landing is a rare experience. The route is as efficient as it is improbable - most of the elevation gain happens on a paved trail, but it leads to a stone ridge with hundreds of feet of vertical drop on either side. You'll never forget the view.",UT
5.1,Out and Back,4656,4456,305,305,2,8,The Narrows: Bottom-Up Route,Intermediate/Difficult,4.9,"While there are many incredible sights and stops in Zion National Park, few are as well known as The Narrows. Here, the Virgin River has carved a spectacular gorge in the upper reaches of Zion Canyon: 16 miles long, up to 2,000-feet deep, and at times only 20 to 30-feet wide. Hiking among the soaring walls, sandstone grottos, natural springs, and hanging gardens makes an unforgettable wilderness experience. 

The Narrows is one of the most popular areas in Zion National Park. This route leads from the mouth of The Narrows to the Orderville Canyon junction and back again.",UT
8.1,Loop,8139,7181,1460,1458,7,42,Fairyland Loop,Intermediate/Difficult,4.9,"The Fairyland Loop begins at Fairyland Point and takes you through spectacular hoodoos and scenery, along the rim and into the canyon. Enjoy views of Tower Bridge and China Wall on this wondrous journey.",UT
6.7,Out and Back,6519,4388,2131,2130,12,33,Observation Point,Intermediate/Difficult,4.8,"This steep and strenuous route takes hikers from ~4,000' all the way to 6,500' in the short span of 3 miles. Though difficult, this hike culminates at one of the best viewpoints in Zion - Observation Point.

Be prepared for very steep grades, especially on East Rim Trail and the first section of East Mesa Trail. So, essentially the entire way!",UT
3.0,Loop,7983,7421,615,615,8,45,Queens Garden Navajo Loop Trail,Intermediate,4.8,"This is a very popular way to get off the rim and down into Bryce Canyon. The ease of access, relatively moderate grades, and spectacular views make the loop an all time favorite. Don't be lulled by the short mileage of this trail, be prepared for a steep climb out whether completing the loop in the clockwise or counter clockwise direction.",UT
5.2,Loop,8300,7425,1434,1434,10,31,Peek-A-Boo Loop,Intermediate/Difficult,4.8,"This steep, roller coaster of a trail has delightful up-close views of hoodoos and natural arch ""windows."" The Peek-A-Boo Loop can be accessed from both Sunrise and Sunset Points, but arguably the most straightforward and scenic route descends the Peek-A-Boo Loop Connector from Bryce Point as described here.",UT
5.0,Loop,5493,5040,548,554,4,40,Devils Garden Full Lollipop,Intermediate/Difficult,4.8,This second most popular trail in Arches has a well deserved reputation for amazing scenery in a wonderfully remote setting.  This is your chance to visit 8 named arches and with keen eyes you'll spot many more.,UT
3.1,Out and Back,4816,4307,567,567,7,32,Delicate Arch Trail,Intermediate,4.7,"Delicate Arch is a magnificent, free-standing arch recognized the world over.  This trail to its base is fun-filled and unique- visiting petroglyphs and a smaller arch, climbing slickrock hillsides and traversing an exciting, exposed ledge.",UT
4.1,Out and Back,4295,3998,314,314,3,9,Grandstaff Hiking Trail,Intermediate,4.5,"The Grandstaff Hiking Trail features a perennial stream in its scenic canyon. Morning Glory Natural Bridge, which has a span of 243 feet, is the sixth longest natural rock span in the United States.",UT
0.7,Loop,6166,6115,61,57,3,8,Mesa Arch Trail,Easy/Intermediate,4.5,"        Park at the designated area and follow the well-trodden, but unimposing and undemanding trail. The short hike leads to a gorgeous low angle natural arch that frames the valley below it beautifully. If possible, try to catch the view for sunrise when the light catches the red rocks wonderfully. It's a good spot because you can take good photos almost any time of day. Most every morning there are many people waiting for the sun to rise to get an iconic shot. I went in the afternoon and still had a good time. There are almost always people here so this is not the place to come for solitude. It's cool and worth seeing but not as cool as other areas in the park. The trail makes a very easy loop with stairs helping for most of the 150 feet of elevation gain. The whole loop is 0.66 miles making this a very family friendly hike. The arch itself is pretty small and unspectacular. The reason it's so popular is not the arch itself, but what it frames. It offers great views of La Sal Mountain, White Rim Road, and the Monster Tower. Be sure to look for trucks and jeeps down on the White Rim Road. I always have fun trying to spot the arch from far below.
    ",UT
