distance(mi),type,max_height(ft),min_height(ft),ascent(ft),descent(ft),avg_grade(%),max_grade(%),trail_name,difficulty,rating,description,state
3.6,Lollipop,684,606,99,100,1,9,Trail 9,Intermediate/Difficult,4.7,"This is the definitive trail in the dunes. It combines hiking through mature forests and along the top of a dune ridge overlooking Lake Michigan. The views are incredible. The gem of this trail is Beach House Blowout, a huge bowl of sand. The trail winds along its narrow edge affording views in every direction.",IN
4.7,Loop,689,587,202,202,2,15,Cowles Bog Trail,Intermediate/Difficult,4.5,"The Cowles Bog Trail highlights an area of such outstanding plant diversity that it was designated as a National Natural Landmark in 1965, a year before the Indiana Dunes National Park was established. This location, where Dr. Henry Cowles conducted much of his early work in plant ecology and succession in the early 1900s, remains an important focus for scientific study today.

Explore several distinct habitats along this 4.7-mile trail including ponds, marshes, swamps, black oak savannas and beaches. Steep sand dunes near Lake Michigan make this a very strenuous journey. Many visitors pack a lunch to enjoy at the shoreline while resting for the return trip (dont forget to pack out your trash). Make sure to bring plenty of water and sun protection.",IN
2.2,Out and Back,724,604,238,237,4,10,Trail 8 - 3 Dunes Challenge,Intermediate/Difficult,4.7,Trail 8 climbs over the three tallest dunes in the park. There are great views at each peak.,IN
5.7,Loop,889,563,563,563,4,20,Scarce O' Fat Loop,Difficult,4.8,"This is a classic Yellowwood State Forest hike through Southern Indiana hardwood forests. Sustained climbs up long narrow ridge lines add a physical challenge, and hikes through deep hollows give a sense of true wilderness. The pinnacle of the hike is the summit of High King Hill, where excellent views of Yellowwood Lake await.",IN
3.5,Loop,671,589,223,220,2,20,West Beach 3-Loop,Intermediate,4.4,"This hike combines the three different loops at West Beach. From the parking lot, follow the road north, toward the lake and pick up the trail to the east of the bathhouse.",IN
3.4,Out and Back,612,587,46,46,1,4,Paul H. Douglas Trail,Intermediate,4.5,"Take the Paul H. Douglas Trail (formerly the Miller Woods Trail) through a globally rare oak savanna. The National Park Service conducts small, carefully controlled burns that mimic historic fires. These fires reduce the growth of woody species and the build-up of leaves on the forest floor. The savannas native grasses and wildflowers, including lupine, thrive in the sunlight and more open forest floor. The wild lupine, the only food for the caterpillar of the endangered Karner blue butterfly, grows close to the trail. Please stay single file on the narrow trail to protect yourself from the abundant poison ivy along the trail edges as well as the fragile lupine habitat.",IN
5.9,Loop,682,525,629,628,4,26,5-Mile Challenge,Difficult,4.8,"The Nature Center features this trail as the 5-mile challenge. Hikers completing the hike in one day can receive a sticker when they take pictures of themselves at the Lusk Home (east), Camel's Back (north) and Boulder Canyon (west) for proof. 

The trail boasts 1,500 man-made steps spread out fairly evenly over the course of the trail, and allows hikers to see the best parts of the park by joining Trail #3, Trail #4, Trail #5, Trail #9, and Trail #10, into a single loop. The trail visits the Coal Mine, the Narrows Covered Bridge, Lusk Home, the Punch Bowl, Camel's Back, ""140"" steps, Boulder Canyon, Falls Canyon and many stream crossings, making the approximately six-mile hike very worthwhile. Parts of the trail require hikers to travel along as well as in the stream, so hikers should dress appropriately!",IN
8.8,Loop,867,483,907,907,4,20,French Lick Loop,Intermediate,5.0,"This is a fun eight-mile loop combining French Lick's Buffalo Trace Trail and Waterfall Trail. Hikers will tackle moderate to steady climbs and enjoy fun sections of descending. Expect some areas of rocky and technical trail and a beautiful, if smaller waterfall.",IN
2.9,Loop,662,608,127,127,2,9,Tolleston Dunes Trail,Intermediate,4.1,"The Tolleston Dunes Trail follows 4,700 year-old sand dunes that were formed when Lake Michigan was 25 feet higher than in recent years. Tolleston is the second youngest of four distinct dune systems found within the national park. Together these dune ridges provide a glimpse into the changing shoreline of Lake Michigan. Older dunes, like Tolleston, are found farther inland from Lake Michigan's present shoreline and were formed thousands of years ago when the lake was much larger than it is today. 

In winter, this trail is a popular spot for cross-country skiers looking for a more challenging experience.",IN
10.6,Loop,935,639,964,968,3,28,Low Gap Backcountry Trail,Intermediate/Difficult,4.3,"        Park at either the main lot or at the smaller Tincher Ridge parking lot 50 yards west. Hike for about one mile down Tincher Ridge before falling off into the Rock Shelter Hollow. See many rock outcropping and a large ""rock shelter"" before climbing out to a high ridge. The trail follows mostly ridges until it drops and crosses Low Gap Loop Road. 

Cross the road and enter the Backcountry Area of Morgan-Monroe State Forest. There is a camping area located near the road. Cross a couple of nice bridges before climbing to the top of Gourley Ridge. Drop again into an isolated valley filled with creeks and pine forest. Depending on the season, wildflowers, wildlife, birds and fungi can be observed. 

Climb out of this hollow and head along a fringe of trees with a logging road. Turn left for Low Gap Loop (Tecumseh Trail turns right) and follow the logging trail to Low Gap Road. Cross the road and continue down/up the gravel road which turns back into another logging trail. 

Follow this trail past Indiana University Hardwood Ecosystem study (look for the tubing and buckets) until it turns to the left. From there, the trail runs just south of the main forest road back to the parking area. Look for pileated woodpeckers on this section. 

Overall, this is a very nice trail with some isolation, especially in the backcountry area.
    ",IN
