distance(mi),type,max_height(ft),min_height(ft),ascent(ft),descent(ft),avg_grade(%),max_grade(%),trail_name,difficulty,rating,description,state
8.8,Loop,1610,731,1032,1031,4,26,Pulpit Rock and The Pinnacle,Intermediate/Difficult,4.5,This is a loop hike using a section of the Appalachian Trail to climb to two rock outcroppings—Pulpit Rock and The Pinnacle—with impressive views of the surrounding Pennsylvania farm lands. Return to car via the trail alongside Furnace Creek.,PA
6.7,Lollipop,2227,1270,1025,1024,6,69,Falls Trail,Difficult,4.8,"With beautiful views of 22 waterfalls, this is a strenuous hike with about 6.7 miles with a lot of steps (up and down). Wear good hiking shoes. Don't forget your camera and maybe a tripod. Be careful and use common sense.",PA
14.3,Loop,2085,1393,1493,1486,4,21,Morrison and Rimrock Trails,Intermediate/Difficult,4.6,"This hike provides some good hills and spectacular forest views. A number of stream crossings are found in the southwestern sections of the trail. Massive moss-covered boulders dot the landscape. If you are in the area, this is a hike not to be missed!",PA
5.2,Loop,1447,497,1021,1021,7,30,Mount Minsi Loop,Intermediate,4.2,"This loop combines several trails in the area and includes a lovely section of the AT: Wilmington Trail Club (PA), with great Rhododendron tunnels, easy rock scrambles, and several viewpoints. Head back down via a better-than-average fire road and finish up by testing your trail craft on some un-blazed singletrack trail.  

If more mileage is desired, a loop via the Lake Lettini Trail can easily be added.",PA
39.1,Point to Point,1267,762,5612,5427,5,57,Rachel Carson Trail,Difficult,4.7,"This is a tough trail passing over rooted, rugged terrain. Once on the trail, keep your head up to follow the trail's blazing. Additionally, the trail passes through several private properties and ""secret' parks (nature reserves), which gives hikers perspective on urban trails, meaning you'll hike through dense forest, over open expanses, down utility corridors, and between housing developments on route from North Park to Freeport. The terrain ranges from paved roads to severely sloped singletrack.

You'll have opportunities to jump on side trails that lead to Hartwood Acres Park, Rachel Carson Homestead in Springdale, and a number of eateries for a quick bite before, after, or during the hike (e.g. Tuscan Inn near North Park).",PA
4.2,Loop,1494,747,819,819,7,29,Hawk Mountain Sanctuary Loop,Difficult,4.5,"A moderate loop with some pretty cool rocks with quartz stripes, nice views, unique terrain, and fun climbing.",PA
2.6,Lollipop,1545,598,968,968,14,54,Thousand Steps to Ledge Quarry,Difficult,4.9,"This hike leads up over a thousand stone steps to Ledge Quarry and a gorgeous view of the town of Mapleton and the Juniata River, as well as a spectacular view of the town of Mount Union! The steps were built in the 1930's and used by miners working at the Ledge Quarry. This trail is rich with history, wildlife, and natural wonders.",PA
5.7,Loop,249,101,300,300,2,11,Joseph Plumb Martin Trail,Easy/Intermediate,4.4,This route follows the Joseph Plumb Martin Trail at Valley Forge National Historical Park. It will view historic and natural resources from the 1777-1778 Winter Encampment at Valley Forge. This route is entirely paved with some steep sections. Most of the route is along the road with a couple crossings and one section along a low traffic roadway.,PA
4.2,Out and Back,1974,797,1313,1313,12,73,Flat Rock Trail,Intermediate/Difficult,4.7,"Hike to nearly 2,000 ft above sea level at Colonel Denning State Park to see a beautiful vista overlooking the Cumberland Valley.",PA
69.1,Point to Point,2966,1241,8652,8603,5,42,Laurel Highlands Hiking Trail,Difficult,4.5,"        The 70-mile hiking trail stretches along Laurel Mountain from the picturesque Youghiogheny River At Ohiopyle, Pa. to the Conemaugh Gorge near Johnstown, Pa. The trail features overnight trail shelters that must be reserved in advance. Seasoned backpackers challenge themselves on the steep, rugged areas of the trails. Casual hikers and runners enjoy areas that are reasonably level and pleasant for walking.

The trail traverses state parks, state forests, state game lands, other public lands and private lands. The Laurel Highlands Hiking Trail is a major segment of the Potomac Heritage National Scenic Trail, a network of trails between the mouth of the Potomac River and the Allegheny Highlands. Click here for more info.

The Laurel Highlands Hiking Trail is open year-round and is blazed approximately every 100 feet with 2-inch and 5-inch yellow blazes. Connector trails lead to and from trailheads and shelter areas and are marked with blue blazes. Mileage monuments are every mile. Yellow bands around trees mark the trail at every major road crossing.

A hiker's guide to the Laurel Highlands Trail is available from the Sierra Club Allegheny Group. The guide describes the trail and aids in planning outings. Included in the guide are detailed topographic maps plus information on geology, climate, plants and wildlife.

Trailheads 
Six trailheads provide 30-car parking lots, overnight parking and trash receptacles.

Voluntary day use registration mailboxes are located in each of the trailheads for day hikers to fill out information cards for vital park attendance data and for use in an emergency. For overnight use of the trail see the LHHT Regulations section.
    ",PA
5.9,Point to Point,212,103,419,413,3,15,Orange Trail,Intermediate,4.7,"        The trail starts on Germantown Avenue where the road crosses Wissahickon Creek. It ends down at Historic Rittenhouse Town. 

In between is a pretty technical set of trails that take you through some really pretty territory. 

The trail winds down the Wissahickon Creek and passes by covered bridges, dams, light rapids and crosses streams. 

Check out the covered bridge in the first third of the trail and the Fingerspan bridge sculpture in the last third. This sculpture had to be helicoptered into place!

The trail is not marked very clearly, so make sure you pay attention at intersections etc. When in doubt stay closer to the creek and use the Hiking Project mobile app to make sure you stay on track.
    ",PA
9.1,Loop,709,382,1114,1127,5,24,Trexler Border Trail,Intermediate/Difficult,4.7,Follow the red markers.  This trail has benches for resting throughout and large maps at multiple spots.  Mileage markers were about every half to 1 mile.  A portion of the trail goes thru authorized hunting grounds - signage says wear florescent colors.,PA
